,class_,Address_1,Address_2,use_p,research_date,research,phone_num,C_ad1,C_ad,temp_data,weather_data,rain_data,oz_data
155,고당,37.470742,127.176602,100,2019-02-12,적합,031-729-4094,경기도 성남시 맑은물관리사업소,경기도 성남시,12,"구름많음, 어제보다 1˚ 높아요",30,0.014ppm
156,중원,37.472411,127.178675,80,2019-02-12,적합,031-729-4094,경기도 성남시 맑은물관리사업소,경기도 성남시,12,"구름많음, 어제보다 1˚ 높아요",30,0.014ppm
157,망덕,37.452691,127.174601,80,2019-02-12,부적합,031-729-4094,경기도 성남시 맑은물관리사업소,경기도 성남시,12,"구름많음, 어제보다 1˚ 높아요",30,0.014ppm
158,검단(하대원),37.431285,127.145624,50,2019-02-12,적합,031-729-4094,경기도 성남시 맑은물관리사업소,경기도 성남시,12,"구름많음, 어제보다 1˚ 높아요",30,0.014ppm
159,윗속말,37.424501,127.142501,120,2019-02-12,적합,031-729-4094,경기도 성남시 맑은물관리사업소,경기도 성남시,12,"구름많음, 어제보다 1˚ 높아요",30,0.014ppm
160,광이재,37.2702888,126.933866,300,2020-01-14,적합,031-228-6334,경기도 수원시 권선구청,경기도 수원시,15,"구름많음, 어제보다 3˚ 높아요",30,0.001ppm
161,칠보산,37.2905018,126.93342292,200,2020-01-14,적합,031-228-6334,경기도 수원시 권선구청,경기도 수원시,15,"구름많음, 어제보다 3˚ 높아요",30,0.001ppm
162,용화출,37.254839,127.037958,50,2019-11-20,적합,031-228-8918,경기도 수원시 영통구청,경기도 수원시,15,"구름많음, 어제보다 3˚ 높아요",30,0.001ppm
163,구매탄,37.270119,127.040468,300,2020-01-13,적합,031-228-8918,경기도 수원시 영통구청,경기도 수원시,15,"구름많음, 어제보다 3˚ 높아요",30,0.001ppm
164,반달공원,37.250932873,127.0788698443,170,2020-01-13,적합,031-228-8918,경기도 수원시 영통구청,경기도 수원시,15,"구름많음, 어제보다 3˚ 높아요",30,0.001ppm
165,살구골,37.2485202568,127.0696429237,150,2019-11-20,적합,031-228-8918,경기도 수원시 영통구청,경기도 수원시,15,"구름많음, 어제보다 3˚ 높아요",30,0.001ppm
166,사색,37.2823710458,127.05478709,90,2020-01-13,적합,031-228-8918,경기도 수원시 영통구청,경기도 수원시,15,"구름많음, 어제보다 3˚ 높아요",30,0.001ppm
167,열림,37.309579,127.037789,100,2020-01-13,적합,031-228-8918,경기도 수원시 영통구청,경기도 수원시,15,"구름많음, 어제보다 3˚ 높아요",30,0.001ppm
168,광교중앙,37.292434,127.062913,220,2020-01-13,적합,031-228-8918,경기도 수원시 영통구청,경기도 수원시,15,"구름많음, 어제보다 3˚ 높아요",30,0.001ppm
169,혜령,37.2882680233,127.045247,190,2020-01-13,적합,031-228-8918,경기도 수원시 영통구청,경기도 수원시,15,"구름많음, 어제보다 3˚ 높아요",30,0.001ppm
170,절터,37.345912,127.024025,300,2020-01-21,부적합,031-228-5348,경기도 수원시 장안구청,경기도 수원시,15,"구름많음, 어제보다 3˚ 높아요",30,0.001ppm
171,구기,37.315433,127.007915,250,2020-01-20,적합,031-228-5348,경기도 수원시 장안구청,경기도 수원시,15,"구름많음, 어제보다 3˚ 높아요",30,0.001ppm
172,금바위,37.3164972102,127.0087134994,50,2020-01-20,부적합,031-228-5348,경기도 수원시 장안구청,경기도 수원시,15,"구름많음, 어제보다 3˚ 높아요",30,0.001ppm
173,퉁소바위,37.290876,127.024504,150,2020-01-21,적합,031-228-5348,경기도 수원시 장안구청,경기도 수원시,15,"구름많음, 어제보다 3˚ 높아요",30,0.001ppm
174,율전,37.310185,126.971543,300,2020-01-20,적합,031-228-5348,경기도 수원시 장안구청,경기도 수원시,15,"구름많음, 어제보다 3˚ 높아요",30,0.001ppm
175,한마음,37.309078,127.021795,100,2020-01-20,적합,031-228-5348,경기도 수원시 장안구청,경기도 수원시,15,"구름많음, 어제보다 3˚ 높아요",30,0.001ppm
176,계명,37.312436,127.999677,50,2020-01-20,적합,031-228-5348,경기도 수원시 장안구청,경기도 수원시,15,"구름많음, 어제보다 3˚ 높아요",30,0.001ppm
177,한철,37.32303147,127.0067322,300,2020-01-20,적합,031-228-5348,경기도 수원시 장안구청,경기도 수원시,15,"구름많음, 어제보다 3˚ 높아요",30,0.001ppm
178,신금암2호,37.327965,126.994508,200,2020-01-20,적합,031-228-5348,경기도 수원시 장안구청,경기도 수원시,15,"구름많음, 어제보다 3˚ 높아요",30,0.001ppm
179,신선,37.319809339,126.99967791,100,2020-01-21,부적합,031-228-5348,경기도 수원시 장안구청,경기도 수원시,15,"구름많음, 어제보다 3˚ 높아요",30,0.001ppm
180,삼익,37.319607,126.997943,50,2020-01-21,부적합,031-228-5348,경기도 수원시 장안구청,경기도 수원시,15,"구름많음, 어제보다 3˚ 높아요",30,0.001ppm
181,문암골1호,37.320932,127.035624,150,2020-01-21,부적합,031-228-5348,경기도 수원시 장안구청,경기도 수원시,15,"구름많음, 어제보다 3˚ 높아요",30,0.001ppm
182,백년수,37.3166254866,127.0343677538,200,2020-01-21,적합,031-228-5348,경기도 수원시 장안구청,경기도 수원시,15,"구름많음, 어제보다 3˚ 높아요",30,0.001ppm
183,팔달,37.2754118,127.0104673,50,2020-01-29,적합,031-228-4473,경기도 수원시 화성사업소,경기도 수원시,15,"구름많음, 어제보다 3˚ 높아요",30,0.001ppm
184,효원,37.2800584972,127.0128095041,100,2020-01-29,적합,031-228-4473,경기도 수원시 화성사업소,경기도 수원시,15,"구름많음, 어제보다 3˚ 높아요",30,0.001ppm
185,수성,37.2823331,127.0061638,100,2020-01-29,부적합,031-228-4473,경기도 수원시 화성사업소,경기도 수원시,15,"구름많음, 어제보다 3˚ 높아요",30,0.001ppm
186,화서,37.1628186,127.0038533,100,2020-01-15,적합,031-228-7387,경기도 수원시 팔달구청,경기도 수원시,15,"구름많음, 어제보다 3˚ 높아요",30,0.001ppm
187,숙지산,37.285657197,127.000614474,300,2020-01-15,적합,031-228-7387,경기도 수원시 팔달구청,경기도 수원시,15,"구름많음, 어제보다 3˚ 높아요",30,0.001ppm
188,능곡,37.3696788828,126.8172387095,50,2020-04-03,적합,031-310-2342,경기도 시흥시청,경기도 시흥시,14,"구름많음, 어제보다 1˚ 높아요",30,0.004ppm
189,청용,37.4519678,126.7855024,80,2020-04-03,적합,031-310-2342,경기도 시흥시청,경기도 시흥시,14,"구름많음, 어제보다 1˚ 높아요",30,0.004ppm
190,비둘기공원,37.026304,126.47381,100,2020-04-03,적합,031-310-2342,경기도 시흥시청,경기도 시흥시,14,"구름많음, 어제보다 1˚ 높아요",30,0.004ppm
191,황고개,37.22174,126.47264,30,2020-04-03,부적합,031-310-6135,경기도 시흥시청,경기도 시흥시,14,"구름많음, 어제보다 1˚ 높아요",30,0.004ppm
192,생금우물,37.3545146,126.7099128,100,2020-04-03,적합,031-310-2342,경기도 시흥시청,경기도 시흥시,14,"구름많음, 어제보다 1˚ 높아요",30,0.004ppm
193,목감,37.3845972178,126.8513844235,30,2020-04-03,적합,031-310-6135,경기도 시흥시청,경기도 시흥시,14,"구름많음, 어제보다 1˚ 높아요",30,0.004ppm
194,산신,37.2358,126.48274,50,2020-04-03,적합,031-310-6183,경기도 시흥시청,경기도 시흥시,14,"구름많음, 어제보다 1˚ 높아요",30,0.004ppm
195,예술대약수터,37.3334133644,126.836241,180,2019-06-11,적합,031-481-3685,경기도 안산시 상하수도사업소,경기도 안산시,12,"구름많음, 어제보다 4˚ 높아요",30,0.002ppm
196,구봉이약수터,37.258289,126.573127,50,2019-06-11,적합,031-481-3685,경기도 안산시 상하수도사업소,경기도 안산시,12,"구름많음, 어제보다 4˚ 높아요",30,0.002ppm
197,꽃빛공원약수터,37.342539,126.833777,480,2019-06-11,적합,031-481-3685,경기도 안산시 상하수도사업소,경기도 안산시,12,"구름많음, 어제보다 4˚ 높아요",30,0.002ppm
198,너구리약수터,37.336361,126.871881,100,2019-06-11,적합,031-481-3685,경기도 안산시 상하수도사업소,경기도 안산시,12,"구름많음, 어제보다 4˚ 높아요",30,0.002ppm
199,수암약수터,37.372041,126.897731,300,2019-06-11,적합,031-481-3685,경기도 안산시 상하수도사업소,경기도 안산시,12,"구름많음, 어제보다 4˚ 높아요",30,0.002ppm
200,용화약수터,37.364565,126.889788,240,2019-06-11,적합,031-481-3685,경기도 안산시 상하수도사업소,경기도 안산시,12,"구름많음, 어제보다 4˚ 높아요",30,0.002ppm
201,동막골약수터,37.350414,126.884903,52,2019-06-11,적합,031-481-3685,경기도 안산시 상하수도사업소,경기도 안산시,12,"구름많음, 어제보다 4˚ 높아요",30,0.002ppm
202,간촌1,37.414748,126.9646494,486,2019-08-26,적합,031-8045-5666,경기도 안양시,경기도 안양시,16,"구름많음, 어제보다 0˚ 높아요",30,0.003ppm
203,관상,37.4223563,126.962596,294,2019-08-26,부적합,031-8045-5666,경기도 안양시,경기도 안양시,16,"구름많음, 어제보다 0˚ 높아요",30,0.003ppm
204,충의,37.406658,126.9392442,185,2019-08-26,적합,031-8045-5666,경기도 안양시,경기도 안양시,16,"구름많음, 어제보다 0˚ 높아요",30,0.003ppm
205,매천,37.4171183,126.957056,350,2019-08-26,부적합,031-8045-5666,경기도 안양시,경기도 안양시,16,"구름많음, 어제보다 0˚ 높아요",30,0.003ppm
206,갈산,37.3807813765,126.9623692382,150,2019-08-26,적합,031-8045-5666,경기도 안양시,경기도 안양시,16,"구름많음, 어제보다 0˚ 높아요",30,0.003ppm
207,석천,37.411524,126.905384,315,2019-08-26,적합,031-8045-5666,경기도 안양시,경기도 안양시,16,"구름많음, 어제보다 0˚ 높아요",30,0.003ppm
208,냉천,37.390306,126.923515,61,2019-08-26,부적합,031-8045-5666,경기도 안양시,경기도 안양시,16,"구름많음, 어제보다 0˚ 높아요",30,0.003ppm
209,만안,37.386145,126.9262235927,38,2019-08-26,부적합,031-8045-5666,경기도 안양시,경기도 안양시,16,"구름많음, 어제보다 0˚ 높아요",30,0.003ppm
210,수리천,37.384194,126.926834,615,2019-08-26,적합,031-8045-5666,경기도 안양시,경기도 안양시,16,"구름많음, 어제보다 0˚ 높아요",30,0.003ppm
211,수리산,37.3652968987,126.9031157473,100,2019-08-26,부적합,031-8045-5666,경기도 안양시,경기도 안양시,16,"구름많음, 어제보다 0˚ 높아요",30,0.003ppm
212,새낭골(위),37.820535641,127.0039640192,50,2019-04-19,적합,031-8082-6832,경기도 양주시청,경기도 양주시,11,"구름많음, 어제보다 1˚ 높아요",30,0.004ppm
213,가재울,37.8315954851,126.9596594716,30,2019-04-22,부적합,031-8082-6832,경기도 양주시청,경기도 양주시,11,"구름많음, 어제보다 1˚ 높아요",30,0.004ppm
214,훈련장,37.8851381981,126.950347149,50,2019-04-17,적합,031-8082-6832,경기도 양주시청,경기도 양주시,11,"구름많음, 어제보다 1˚ 높아요",30,0.004ppm
215,흥덕사,37.8824136071,126.9869504687,50,2019-04-17,적합,031-8082-6832,경기도 양주시청,경기도 양주시,11,"구름많음, 어제보다 1˚ 높아요",30,0.004ppm
216,사리산,37.9053407119,126.9722645594,50,2019-04-19,부적합,031-8082-6832,경기도 양주시청,경기도 양주시,11,"구름많음, 어제보다 1˚ 높아요",30,0.004ppm
217,감악산,37.928797,126.9653814445,50,2019-04-17,부적합,031-8082-6832,경기도 양주시청,경기도 양주시,11,"구름많음, 어제보다 1˚ 높아요",30,0.004ppm
218,금광1차아파트,37.8218730242,127.0403386981,40,2019-04-16,적합,031-8082-6832,경기도 양주시청,경기도 양주시,11,"구름많음, 어제보다 1˚ 높아요",30,0.004ppm
219,명성,37.8144301214,127.0431465802,100,2018-04-16,적합,031-8082-6832,경기도 양주시청,경기도 양주시,11,"구름많음, 어제보다 1˚ 높아요",30,0.004ppm
220,지장사,37.8254009802,127.0286868642,150,2019-04-18,부적합,031-8082-6832,경기도 양주시청,경기도 양주시,11,"구름많음, 어제보다 1˚ 높아요",30,0.004ppm
221,옥천,37.8152715074,127.040779,150,2019-04-18,적합,031-8082-6832,경기도 양주시청,경기도 양주시,11,"구름많음, 어제보다 1˚ 높아요",30,0.004ppm
222,극동,37.825586,127.0404179168,50,2019-04-18,적합,031-8082-6832,경기도 양주시청,경기도 양주시,11,"구름많음, 어제보다 1˚ 높아요",30,0.004ppm
223,냉골,37.787462,126.9647174898,15,2019-04-19,부적합,031-8082-6832,경기도 양주시청,경기도 양주시,11,"구름많음, 어제보다 1˚ 높아요",30,0.004ppm
224,은봉산,37.7802256202,126.9754560926,50,2019-04-16,적합,031-8082-6832,경기도 양주시청,경기도 양주시,11,"구름많음, 어제보다 1˚ 높아요",30,0.004ppm
225,송산,37.7817748257,126.99734182,150,2019-04-16,적합,031-8082-6832,경기도 양주시청,경기도 양주시,11,"구름많음, 어제보다 1˚ 높아요",30,0.004ppm
226,홍복,37.7672138812,126.9875097352,140,2019-04-16,적합,031-8082-6832,경기도 양주시청,경기도 양주시,11,"구름많음, 어제보다 1˚ 높아요",30,0.004ppm
227,작은산대,37.7993412254,127.0421340693,50,2019-04-22,적합,031-8082-6832,경기도 양주시청,경기도 양주시,11,"구름많음, 어제보다 1˚ 높아요",30,0.004ppm
228,야촌(위),37.7920154558,127.1074866178,20,2019-04-22,부적합,031-8082-6832,경기도 양주시청,경기도 양주시,11,"구름많음, 어제보다 1˚ 높아요",30,0.004ppm
229,옻물,37.9043235524,127.0114660681,50,2019-04-22,적합,031-8082-6832,경기도 양주시청,경기도 양주시,11,"구름많음, 어제보다 1˚ 높아요",30,0.004ppm
230,도락산,37.8406365029,127.028715904,50,2019-04-17,부적합,031-8082-6832,경기도 양주시청,경기도 양주시,11,"구름많음, 어제보다 1˚ 높아요",30,0.004ppm
231,송천,37.8792939809,127.0446990161,50,2019-04-17,적합,031-8082-6832,경기도 양주시청,경기도 양주시,11,"구름많음, 어제보다 1˚ 높아요",30,0.004ppm
232,독정골,37.6701515172,126.9136820488,50,2019-04-22,부적합,031-8082-6832,경기도 양주시청,경기도 양주시,11,"구름많음, 어제보다 1˚ 높아요",30,0.004ppm
233,회암사,37.8509640995,127.1111320322,100,2019-04-18,적합,031-8082-6832,경기도 양주시청,경기도 양주시,11,"구름많음, 어제보다 1˚ 높아요",30,0.004ppm
234,과골,37.832983,127.047427,50,2019-04-18,적합,031-8082-6832,경기도 양주시청,경기도 양주시,11,"구름많음, 어제보다 1˚ 높아요",30,0.004ppm
235,석간수,37.6313639062,127.608277,200,2020-01-15,적합,031-770-3714,경기도 양평군청,경기도 양평군,12,"구름많음, 어제보다 0˚ 높아요",30,0.005ppm
236,말미산,37.420066,127.748247,60,2020-01-15,적합,031-770-3714,경기도 양평군청,경기도 양평군,12,"구름많음, 어제보다 0˚ 높아요",30,0.005ppm
237,용담,37.542648,127.335807,120,2020-01-15,적합,031-770-3714,경기도 양평군청,경기도 양평군,12,"구름많음, 어제보다 0˚ 높아요",30,0.005ppm
238,백년,37.5160479391,127.5194213919,60,2020-01-15,적합,031-770-3714,경기도 양평군청,경기도 양평군,12,"구름많음, 어제보다 0˚ 높아요",30,0.005ppm
239,용화수,37.473769,127.597573,150,2020-01-15,적합,031-770-3714,경기도 양평군청,경기도 양평군,12,"구름많음, 어제보다 0˚ 높아요",30,0.005ppm
240,감상골,37.4702227562,127.6466078238,60,2020-01-15,적합,031-770-3714,경기도 양평군청,경기도 양평군,12,"구름많음, 어제보다 0˚ 높아요",30,0.005ppm
241,여물,37.552485,127.700061,60,2020-01-15,적합,031-770-3714,경기도 양평군청,경기도 양평군,12,"구름많음, 어제보다 0˚ 높아요",30,0.005ppm
242,원압산,38.1508148,127.095404,10,2018-07-24,적합,031-839-4347,경기도 연천군청,경기도 연천군,9,"맑음, 어제보다 1˚ 높아요",30,0.005ppm
243,옥수동,38.1758657,127.1053591,100,2018-07-24,적합,031-839-4347,경기도 연천군청,경기도 연천군,9,"맑음, 어제보다 1˚ 높아요",30,0.005ppm
244,말턱고개,37.9769502,127.0584378,180,2018-07-24,적합,031-839-4347,경기도 연천군청,경기도 연천군,9,"맑음, 어제보다 1˚ 높아요",30,0.005ppm
245,수목원약수터,37.1669988538,127.0549573597,250,2017-10-30,적합,031-8036-6389,오산시 환경사업소,경기도 오산시,14,"흐림, 어제보다 1˚ 높아요",30,0.007ppm
246,필봉약수터,37.1774164132,127.0720989317,300,2017-10-30,적합,031-8036-6389,오산시 환경사업소,경기도 오산시,14,"흐림, 어제보다 1˚ 높아요",30,0.007ppm
247,감투봉약수터,37.1530566836,127.0466005721,250,2017-10-30,적합,031-8036-6389,오산시 환경사업소,경기도 오산시,14,"흐림, 어제보다 1˚ 높아요",30,0.007ppm
248,박동약수터,37.1666711515,127.0708674142,150,2017-10-30,적합,031-8036-6389,오산시 환경사업소,경기도 오산시,14,"흐림, 어제보다 1˚ 높아요",30,0.007ppm
249,원당약수터,37.1423800082,127.0935312357,100,2017-10-30,적합,031-8036-6389,오산시 환경사업소,경기도 오산시,14,"흐림, 어제보다 1˚ 높아요",30,0.007ppm
250,은계약수터,37.1637695711,127.0717503,500,2017-10-30,적합,031-8036-6389,오산시 환경사업소,경기도 오산시,14,"흐림, 어제보다 1˚ 높아요",30,0.007ppm
251,상미,37.277468,127.097056,100,2019-03-06,적합,031-324-6443,기흥구 건설도로과,경기도 용인시,11,"구름많음, 어제보다 1˚ 높아요",30,0.004ppm
252,구갈,37.288363,127.121944,50,2019-03-06,부적합,031-324-6443,기흥구 건설도로과,경기도 용인시,11,"구름많음, 어제보다 1˚ 높아요",30,0.004ppm
253,천년,37.322146,127.0430312,100,2019-03-13,적합,031-324-8412,수지구 건설도로과,경기도 용인시,11,"구름많음, 어제보다 1˚ 높아요",30,0.004ppm
254,옻샘,37.227738,127.2013567,80,2019-03-12,적합,031-324-5411,처인구청 건설도로과,경기도 용인시,11,"구름많음, 어제보다 1˚ 높아요",30,0.004ppm
255,옻옴물,37.3564667,127.2451734,30,2019-03-12,적합,031-324-5411,처인구청 건설도로과,경기도 용인시,11,"구름많음, 어제보다 1˚ 높아요",30,0.004ppm
256,오봉산,37.3481642,127.0039879,80,2019-03-08,적합,031-345-3632,경기도 의왕시청,경기도 의왕시,10,"구름많음, 어제보다 1˚ 높아요",30,0.003ppm
257,내손,37.3814574,126.9789889,150,2019-03-08,적합,031-345-3632,경기도 의왕시청,경기도 의왕시,10,"구름많음, 어제보다 1˚ 높아요",30,0.003ppm
258,LG,37.365831,126.9671302,500,2019-03-08,적합,031-345-3632,경기도 의왕시청,경기도 의왕시,10,"구름많음, 어제보다 1˚ 높아요",30,0.003ppm
259,덕성,37.3146352474,126.958754932,300,2019-03-07,적합,031-345-3632,경기도 의왕시청,경기도 의왕시,10,"구름많음, 어제보다 1˚ 높아요",30,0.003ppm
260,한직골,37.3882283,127.007926,50,2019-03-08,적합,031-345-3632,경기도 의왕시청,경기도 의왕시,10,"구름많음, 어제보다 1˚ 높아요",30,0.003ppm
261,학의,37.3833933,126.9955528,80,2019-03-08,적합,031-345-3632,경기도 의왕시청,경기도 의왕시,10,"구름많음, 어제보다 1˚ 높아요",30,0.003ppm
262,입석,37.7582136825,127.012755326,300,2016-09-07,적합,031-828-4433,경기도 의정부시청,경기도 의정부시,11,"구름많음, 어제보다 1˚ 높아요",30,0.004ppm
263,불로,37.7283541234,127.0224648592,150,2016-09-09,부적합,031-828-4433,경기도 의정부시청,경기도 의정부시,11,"구름많음, 어제보다 1˚ 높아요",30,0.004ppm
264,성불사,37.7283541234,127.0224648592,110,2016-09-08,적합,031-828-4433,경기도 의정부시청,경기도 의정부시,11,"구름많음, 어제보다 1˚ 높아요",30,0.004ppm
265,새무골,37.7623174802,127.0796593629,50,2016-09-07,부적합,031-828-4433,경기도 의정부시청,경기도 의정부시,11,"구름많음, 어제보다 1˚ 높아요",30,0.004ppm
266,청룡,37.7599071663,127.0669964905,150,2016-09-07,적합,031-828-4433,경기도 의정부시청,경기도 의정부시,11,"구름많음, 어제보다 1˚ 높아요",30,0.004ppm
267,천보,37.7592404219,127.0603820941,60,2016-09-07,적합,031-828-4433,경기도 의정부시청,경기도 의정부시,11,"구름많음, 어제보다 1˚ 높아요",30,0.004ppm
268,무지랭이,37.7582796922,127.1299364606,150,2016-09-07,부적합,031-828-4433,경기도 의정부시청,경기도 의정부시,11,"구름많음, 어제보다 1˚ 높아요",30,0.004ppm
269,불암,37.7548744874,127.0483364264,80,2016-09-09,부적합,031-828-4433,경기도 의정부시청,경기도 의정부시,11,"구름많음, 어제보다 1˚ 높아요",30,0.004ppm
270,어룡,37.7433034853,127.1218093235,50,2016-09-07,부적합,031-828-4433,경기도 의정부시청,경기도 의정부시,11,"구름많음, 어제보다 1˚ 높아요",30,0.004ppm
271,만가대,37.7172287474,127.0805864642,150,2016-09-09,부적합,031-828-4433,경기도 의정부시청,경기도 의정부시,11,"구름많음, 어제보다 1˚ 높아요",30,0.004ppm
272,신정,37.7334766645,127.0319185426,190,2016-09-09,부적합,031-828-4433,경기도 의정부시청,경기도 의정부시,11,"구름많음, 어제보다 1˚ 높아요",30,0.004ppm
273,천보산,37.7615324624,127.0529210782,70,2016-09-07,적합,031-828-4433,경기도 의정부시청,경기도 의정부시,11,"구름많음, 어제보다 1˚ 높아요",30,0.004ppm
274,본자일,37.7736718811,127.1123019985,260,2016-09-07,적합,031-828-4433,경기도 의정부시청,경기도 의정부시,11,"구름많음, 어제보다 1˚ 높아요",30,0.004ppm
275,기념비,37.7715460116,127.1080129526,150,2016-09-07,부적합,031-828-4433,경기도 의정부시청,경기도 의정부시,11,"구름많음, 어제보다 1˚ 높아요",30,0.004ppm
276,수락산계곡,37.7180350606,127.0708558837,150,2016-09-07,적합,031-828-4433,경기도 의정부시청,경기도 의정부시,11,"구름많음, 어제보다 1˚ 높아요",30,0.004ppm
277,바위샘,37.7098706248,127.0534105304,80,2016-09-07,부적합,031-828-4433,경기도 의정부시청,경기도 의정부시,11,"구름많음, 어제보다 1˚ 높아요",30,0.004ppm
278,북부출장소,37.7088219386,127.0446276031,60,2016-09-08,부적합,031-828-4433,경기도 의정부시청,경기도 의정부시,11,"구름많음, 어제보다 1˚ 높아요",30,0.004ppm
279,영산법화사,37.7111311913,127.0221602572,60,2016-09-09,부적합,031-828-4433,경기도 의정부시청,경기도 의정부시,11,"구름많음, 어제보다 1˚ 높아요",30,0.004ppm
280,초암약수터,37.2848859,127.4260779,200,2018-10-23,적합,031-644-4234,이천시 이천시청(수도과),경기도 이천시,12,"구름많음, 어제보다 0˚ 높아요",30,0.002ppm
281,호암약수터,37.2897056,127.4237592,240,2018-10-23,적합,031-644-4235,이천시 이천시청(수도과),경기도 이천시,12,"구름많음, 어제보다 0˚ 높아요",30,0.002ppm
282,구암약수터,37.2897056,127.4237592,320,2018-10-23,적합,031-644-4235,이천시 이천시청(수도과),경기도 이천시,12,"구름많음, 어제보다 0˚ 높아요",30,0.002ppm
283,청구약수터,37.2897056,127.4237592,220,2018-10-23,적합,031-644-4234,이천시 이천시청(수도과),경기도 이천시,12,"구름많음, 어제보다 0˚ 높아요",30,0.002ppm
284,신송약수터,37.2858099,127.4656864,70,2018-10-23,부적합,031-644-4235,이천시 이천시청(수도과),경기도 이천시,12,"구름많음, 어제보다 0˚ 높아요",30,0.002ppm
285,향교약수터,37.2872394,127.435541,90,2018-10-23,적합,031-644-4235,이천시 이천시청(수도과),경기도 이천시,12,"구름많음, 어제보다 0˚ 높아요",30,0.002ppm
286,물명당약수터,37.2837104,127.4837945,50,2018-10-23,부적합,031-644-4235,이천시 이천시청(수도과),경기도 이천시,12,"구름많음, 어제보다 0˚ 높아요",30,0.002ppm
287,감사교육원,37.7810728,126.9317989,200,2019-02-22,적합,031-940-5483,파주시,경기도 파주시,12,"구름많음, 어제보다 2˚ 높아요",30,0.003ppm
288,묘지,37.7960411,126.851728,250,2019-02-22,적합,031-940-5483,파주시,경기도 파주시,12,"구름많음, 어제보다 2˚ 높아요",30,0.003ppm
289,도토리,37.8755863,126.8268451,220,2019-02-22,적합,031-940-5483,파주시,경기도 파주시,12,"구름많음, 어제보다 2˚ 높아요",30,0.003ppm
290,대능,37.8445779,126.881355,250,2019-02-22,적합,031-940-5483,파주시,경기도 파주시,12,"구름많음, 어제보다 2˚ 높아요",30,0.003ppm
291,율곡,37.868734,126.871901,100,2019-02-22,적합,031-940-5483,파주시,경기도 파주시,12,"구름많음, 어제보다 2˚ 높아요",30,0.003ppm
292,천현,37.8491705875,126.8823088,200,2019-02-18,적합,031-940-5483,파주시,경기도 파주시,12,"구름많음, 어제보다 2˚ 높아요",30,0.003ppm
293,시청,37.7600413844,126.7798768306,230,2018-06-25,적합,031-940-5483,파주시,경기도 파주시,12,"구름많음, 어제보다 2˚ 높아요",30,0.003ppm
294,안용주골,37.8365182,126.8319515,50,2019-02-22,적합,031-940-5483,파주시,경기도 파주시,12,"구름많음, 어제보다 2˚ 높아요",30,0.003ppm
295,두포,37.904395,126.827646,50,2019-02-18,적합,031-940-5483,파주시,경기도 파주시,12,"구름많음, 어제보다 2˚ 높아요",30,0.003ppm
296,새일,37.8775942,126.8112714,60,2019-02-22,적합,031-940-5483,파주시,경기도 파주시,12,"구름많음, 어제보다 2˚ 높아요",30,0.003ppm
297,사자골 약수터,37.071135,127.0700091,300,2020-03-03,적합,031-8024-5165,평택시 상하수도사업소,경기도 평택시,14,"구름많음, 어제보다 2˚ 높아요",30,0.004ppm
298,체육공원,37.892804,127.2107113,100,2019-05-02,적합,031-538-3411,상하수과,경기도 포천시,9,"맑음, 어제보다 0˚ 높아요",30,0.006ppm
299,옻우물,37.82492388,127.136418,80,2019-05-02,적합,031-538-3411,상하수과,경기도 포천시,9,"맑음, 어제보다 0˚ 높아요",30,0.006ppm
300,무렛골(상),37.91735462,127.1878961,60,2019-05-02,적합,031-538-3411,상하수과,경기도 포천시,9,"맑음, 어제보다 0˚ 높아요",30,0.006ppm
301,무렛골(하),37.90594741,127.1943894,30,2019-05-02,적합,031-538-3411,상하수과,경기도 포천시,9,"맑음, 어제보다 0˚ 높아요",30,0.006ppm
302,호병골,37.90053105,127.1928792,100,2019-05-02,적합,031-538-3411,상하수과,경기도 포천시,9,"맑음, 어제보다 0˚ 높아요",30,0.006ppm
303,능원,38.00423148,127.266625,30,2019-05-02,부적합,031-538-3411,상하수과,경기도 포천시,9,"맑음, 어제보다 0˚ 높아요",30,0.006ppm
304,관음산,38.01776555,127.3193691,80,2019-05-02,적합,031-538-3411,상하수과,경기도 포천시,9,"맑음, 어제보다 0˚ 높아요",30,0.006ppm
305,청계,37.92953755,127.3380067,100,2019-05-02,적합,031-538-3411,상하수과,경기도 포천시,9,"맑음, 어제보다 0˚ 높아요",30,0.006ppm
306,참새골약수터,37.506076,127.1680769,50,2019-05-15,적합,031-790-6443,경기도 하남시청,경기도 하남시,12,"구름많음, 어제보다 1˚ 높아요",30,0.003ppm
307,선법사약수터,37.5184763,127.2060014,80,2019-05-15,적합,031-790-6443,경기도 하남시청,경기도 하남시,12,"구름많음, 어제보다 1˚ 높아요",30,0.003ppm
308,은고개약수터,37.481686803,127.2388772439,80,2019-05-15,적합,031-790-6443,경기도 하남시청,경기도 하남시,12,"구름많음, 어제보다 1˚ 높아요",30,0.003ppm
309,곱돌광산약수터,37.5278183,127.2388613979,150,2019-05-15,적합,031-790-6443,경기도 하남시청,경기도 하남시,12,"구름많음, 어제보다 1˚ 높아요",30,0.003ppm
310,이장천약수터,37.4806033,127.1650379,100,2019-05-15,적합,031-790-6443,경기도 하남시청,경기도 하남시,12,"구름많음, 어제보다 1˚ 높아요",30,0.003ppm
311,일장천약수터,37.4825734,127.1648396,80,2019-05-15,적합,031-790-6443,경기도 하남시청,경기도 하남시,12,"구름많음, 어제보다 1˚ 높아요",30,0.003ppm
